"date","weighted","close","high","low","open","volume"
"2021-03-18 12:03:00","57794.34","57291.15","58391.47","57202.55","58216.34","223643871.57"
"2021-03-18 13:03:00","57522.34","57504.08","57870.93","57022.2","57291.15","174542342.58"
"2021-03-18 14:03:00","57756.8","57758.56","57923.37","57456.71","57504.08","37836482.4"
"2021-03-18 15:03:00","57906.99","57642.33","58142.63","57633.48","57927.78","76294779.8"
"2021-03-18 16:03:00","57694.63","57643.32","58021.08","57381.32","57642.33","102108529.01"
"2021-03-18 17:03:00","56785.86","56841.87","57662.78","56283.37","57643.32","249974764.7"
"2021-03-18 18:03:00","57053.62","57393.32","57420.03","56659.59","56841.87","90657630.8"
"2021-03-18 19:03:00","57451.91","57357.28","57747.15","57223.67","57393.32","90727476.55"
"2021-03-18 20:03:00","57574.26","57779.35","57887.7","57304.77","57357.28","70568774.22"
"2021-03-18 21:03:00","57972.31","57877.09","58244.04","57641.37","57779.35","100449201.42"
"2021-03-18 22:03:00","57962.64","58336.56","58369.5","57612.31","57877.09","60677030.58"
"2021-03-18 23:03:00","58204.44","58061.67","58460.49","58054.79","58336.56","28247776.91"
"2021-03-18 24:03:00","58081.96","57797.35","58352.47","57752.82","58120.2","47823524.7"
"2021-03-19 01:03:00","58076.87","58315.72","58550.61","57485.28","57797.35","138747384.61"
"2021-03-19 02:03:00","58608.78","58300.75","58862.43","58218.74","58315.72","104586780.44"
"2021-03-19 03:03:00","58391.18","58612.76","58690.78","58131.66","58300.75","43675431.66"
"2021-03-19 04:03:00","58600.04","58507.34","58700.01","58479.14","58612.76","7235346.87"
"2021-03-19 11:03:00","58711.45","58829.14","58973.76","58391.44","58910.71","82356307.34"
"2021-03-19 12:03:00","58803.4","58806.44","58852.69","58734.42","58829.14","13724714.53"
"2021-03-19 13:03:00","58782.42","58419.24","59453.32","58140.22","58887.67","213106844.23"
"2021-03-19 14:03:00","58579.49","58662.35","58755.03","58356.71","58419.24","57762889.52"
"2021-03-19 15:03:00","58458.2","58511.38","58662.35","58305.26","58662.35","49573141.4"
"2021-03-19 16:03:00","58175.02","58060.21","58540.02","58018.83","58511.38","64541114.48"
"2021-03-19 17:03:00","58122.22","58414.62","58420.41","57837.79","58060.21","81412370.78"
"2021-03-19 20:03:00","58380.3","58401.04","58595.05","58216.93","58561.61","32715736.47"
"2021-03-19 21:03:00","58423.74","58235.71","58627.79","58192.35","58401.04","38429969.66"
"2021-03-19 22:03:00","58218.92","58155.24","58368.6","58075.61","58235.71","25614578.52"
"2021-03-19 23:03:00","58252.9","58348.42","58394.33","58014.98","58155.24","20200941.42"
"2021-03-19 24:03:00","58423.91","58442.97","58546.5","58290.03","58348.42","22694766.28"
"2021-03-20 01:03:00","58711.46","58712.37","58831.84","58431.49","58442.97","43353719.93"
"2021-03-20 02:03:00","58798.34","58830.01","58906.65","58687.73","58712.37","15832040.06"
"2021-03-20 03:03:00","58801.42","58702.55","58928.88","58636.63","58790.33","51211919.57"
"2021-03-20 04:03:00","59048.62","59258.45","59313.49","58663.13","58702.55","72930950.88"
"2021-03-20 05:03:00","59079.31","59190.89","59327.7","58800.41","59258.45","47599020.48"
"2021-03-20 06:03:00","59456","59077.72","59911.7","58664.21","59190.89","227987017.75"
"2021-03-20 07:03:00","59152.2","59377.94","59388.37","58810.75","59077.72","86121459.31"
"2021-03-20 08:03:00","59461.01","59273.54","59735.15","59091.24","59377.94","82329122.8"
"2021-03-20 09:03:00","59087.04","59049.89","59328.42","58953.65","59273.54","68022776.27"
"2021-03-20 10:03:00","59191.69","59166.95","59325.11","59037.48","59049.89","41934944.71"
"2021-03-20 11:03:00","59269.45","59168.84","59478.85","59154.72","59166.95","59503559.62"
"2021-03-20 12:03:00","59259.54","59268.57","59417.99","59156.49","59168.84","40297669.99"
"2021-03-20 13:03:00","58499.55","58532.27","59368.98","58149.01","59268.57","330153343.13"
"2021-03-20 14:03:00","58612.2","58737.18","58765.9","58405.79","58532.27","45602049.78"
"2021-03-20 15:03:00","58599.95","58515.11","58804.08","58389.8","58737.18","39941142.15"
"2021-03-20 16:03:00","58223.97","58101.34","58515.11","58030.25","58515.11","94395032.44"
"2021-03-20 17:03:00","58296.8","58361.32","58621.34","57824.24","58101.34","175885523.11"
"2021-03-20 18:03:00","58281.01","58195.39","58478.69","58115.77","58361.32","37271872.61"
"2021-03-20 19:03:00","57709.27","57573.74","58195.39","57448.32","58195.39","143630874.38"
"2021-03-20 20:03:00","57639.87","57798.42","57834.35","57454.22","57573.74","69976530.17"
"2021-03-20 21:03:00","57163.03","56912.08","57798.42","56741.33","57798.42","179430173.32"
"2021-03-20 22:03:00","57063.19","57161.03","57254.45","56869.18","56912.08","70527819.3"
"2021-03-20 23:03:00","57135.62","57094.17","57417.96","56713.03","57161.03","66253889.75"
"2021-03-20 24:03:00","57126.1","57014.77","57315.46","56910.6","57094.17","31258258.15"
"2021-03-21 01:03:00","57148.38","57168.01","57304.72","56911.04","57014.77","35279408.44"
"2021-03-21 02:03:00","56224.74","55989.26","57250.15","55650.92","57168.01","224240006.04"
"2021-03-21 03:03:00","56117.28","56154.69","56371.21","55635.61","55989.26","82266246.19"
"2021-03-21 04:03:00","56102.19","56252.71","56320.87","55833.25","56154.69","57454814.03"
"2021-03-21 05:03:00","56116.66","56198.94","56268.94","55889.76","56252.71","52267053.39"
